segment,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,total_angle_change_deg,average_angle_change_deg,curvature_rad_per_px,trajectory_pattern
97,743,481,745,461,744.0,471.0,20.09975124224178,84.28940686250037,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
118,504,488,529,478,516.5,483.0,26.92582403567252,21.80140948635181,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
298,641,491,645,470,643.0,480.5,21.37755832643195,79.2157021324374,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
79,727,490,730,468,728.5,479.0,22.20360331117452,82.23483398157467,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
141,695,494,733,469,714.0,481.5,45.48626166217664,33.340707346477004,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
63,633,453,644,515,638.5,484.0,62.96824596572466,100.06068979532296,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
289,538,484,558,490,548.0,487.0,20.8806130178211,163.30075576600638,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
112,636,473,646,498,641.0,485.5,26.92582403567252,111.80140948635182,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
133,639,467,644,506,641.5,486.5,39.319206502675,97.30575953331082,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
243,696,496,722,478,709.0,487.0,31.622776601683793,34.69515353123397,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
41,634,498,646,481,640.0,489.5,20.808652046684813,54.78240703180729,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
308,468,504,479,486,473.5,495.0,21.095023109728988,58.57043438516149,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
210,634,501,655,480,644.5,490.5,29.698484809834994,45.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
291,630,501,656,481,643.0,491.0,32.802438933713454,37.568592028827496,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
38,717,500,734,478,725.5,489.0,27.80287754891569,52.30575953331083,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
28,630,474,638,517,634.0,495.5,43.73785545725808,100.53918372862823,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
186,634,484,644,509,639.0,496.5,26.92582403567252,111.80140948635182,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
59,346,496,350,524,348.0,510.0,28.284271247461902,98.13010235415597,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
144,346,497,349,524,347.5,510.5,27.16615541441225,96.3401917459099,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
77,597,526,652,480,624.5,503.0,71.7007670809734,39.90788487550104,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
7,605,517,607,491,606.0,504.0,26.076809620810597,85.60129464500447,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
73,632,515,649,497,640.5,506.0,24.758836806279895,46.63657704161672,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
234,634,519,647,495,640.5,507.0,27.294688127912362,61.55707137563666,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
8,627,520,646,495,636.5,507.5,31.400636936215164,52.76516601842533,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
205,359,515,393,528,376.0,521.5,36.40054944640259,159.07549825507883,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
175,522,506,540,529,531.0,517.5,29.206163733020468,128.0470425318261,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
224,571,531,593,509,582.0,520.0,31.11269837220809,45.0,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
283,527,528,550,530,538.5,529.0,23.08679276123039,175.0302592718897,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
58,608,547,620,528,614.0,537.5,22.47220505424423,57.724355685422374,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
162,519,556,531,528,525.0,542.0,30.463092423455635,66.80140948635182,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
218,50,551,68,563,59.0,557.0,21.633307652783937,146.30993247402023,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
207,47,550,67,565,57.0,557.5,25.0,143.13010235415598,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
